layerset,loss,optimizer,epoch,seed,layer,correct
[[108; 'relu']; [164; 'linear']; [300; 'linear']],mse,adam,20,2501439053,3,0.7321428571428571
[[108; 'relu']; [164; 'linear']; [300; 'linear']],mse,rmsprop,13,3022306358,3,0.6071428571428571
[[108; 'relu']; [164; 'linear']; [300; 'linear']],mse,rmsprop,20,3275308600,3,0.625
[[108; 'relu']; [300; 'relu']; [108; 'relu']],mse,adam,13,2533143112,3,0.6607142857142857
[[108; 'relu']; [300; 'relu']; [108; 'relu']],mse,adam,20,1654867231,3,0.6964285714285714
[[108; 'relu']; [300; 'relu']; [108; 'relu']],mse,rmsprop,13,3413587479,3,0.7142857142857143
[[108; 'relu']; [300; 'relu']; [108; 'relu']],mse,rmsprop,20,1666944800,3,0.7857142857142857
[[108; 'relu']; [300; 'relu']; [108; 'linear']],mse,adam,13,1136185415,3,0.6964285714285714
[[108; 'relu']; [300; 'relu']; [108; 'linear']],mse,adam,20,3100226106,3,0.7321428571428571
[[108; 'relu']; [300; 'relu']; [108; 'linear']],mse,rmsprop,13,2782847156,3,0.7142857142857143
[[108; 'relu']; [300; 'relu']; [108; 'linear']],mse,rmsprop,20,971770771,3,0.6964285714285714
[[108; 'relu']; [300; 'relu']; [164; 'relu']],mse,adam,13,4182281621,3,0.6428571428571429
[[108; 'relu']; [300; 'relu']; [164; 'relu']],mse,adam,20,3134666567,3,0.7321428571428571
[[108; 'relu']; [300; 'relu']; [164; 'relu']],mse,rmsprop,13,1443129570,3,0.6964285714285714
[[108; 'relu']; [300; 'relu']; [164; 'relu']],mse,rmsprop,20,4260570663,3,0.6785714285714286
[[108; 'relu']; [300; 'relu']; [164; 'linear']],mse,adam,13,358580609,3,0.6607142857142857
[[108; 'relu']; [300; 'relu']; [164; 'linear']],mse,adam,20,1390846021,3,0.5892857142857143
[[108; 'relu']; [300; 'relu']; [164; 'linear']],mse,rmsprop,13,1783513873,3,0.6607142857142857
[[108; 'relu']; [300; 'relu']; [164; 'linear']],mse,rmsprop,20,2178700632,3,0.6785714285714286
[[108; 'relu']; [300; 'relu']; [300; 'relu']],mse,adam,13,1101952582,3,0.7142857142857143
[[108; 'relu']; [300; 'relu']; [300; 'relu']],mse,adam,20,4050268256,3,0.6607142857142857
[[108; 'relu']; [300; 'relu']; [300; 'relu']],mse,rmsprop,13,5736682,3,0.6607142857142857
