layerset,loss,optimizer,epoch,seed,layer(LAST),correct
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [200; 'relu']],mse,adam,25,3173334793,4,0.6666666666666666
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'linear']],mse,adam,25,3599959662,4,0.7424242424242424
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'linear']],mse,adam,25,2804507800,4,0.7424242424242424
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'linear']],mse,adam,25,2331095922,4,0.7575757575757576
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'linear']],mse,adam,25,646756819,4,0.6515151515151515
[[200; 'relu']; [200; 'relu']; [200; 'relu']; [150; 'linear']],mse,adam,25,622124201,4,0.6818181818181818
[[200; 'relu']; [200; 'relu']; [200; 'linear']; [200; 'relu']],mse,adam,25,2241123959,4,0.6666666666666666
[[200; 'relu']; [200; 'relu']; [200; 'linear']; [200; 'relu']],mse,adam,25,4121919487,4,0.6060606060606061
[[200; 'relu']; [200; 'relu']; [200; 'linear']; [200; 'relu']],mse,adam,25,809975101,4,0.6515151515151515
[[200; 'relu']; [200; 'relu']; [200; 'linear']; [200; 'relu']],mse,adam,25,940208664,4,0.7575757575757576
[[200; 'relu']; [200; 'relu']; [200; 'linear']; [200; 'relu']],mse,adam,25,3773927146,4,0.7121212121212122
[[200; 'relu']; [200; 'relu']; [200; 'linear']; [200; 'relu']],mse,adam,25,3469475676,4,0.7121212121212122
[[200; 'relu']; [200; 'relu']; [200; 'linear']; [200; 'relu']],mse,adam,25,1925623804,4,0.7424242424242424
[[200; 'relu']; [200; 'relu']; [200; 'linear']; [200; 'relu']],mse,adam,25,454260659,4,0.6818181818181818
[[200; 'relu']; [200; 'relu']; [200; 'linear']; [200; 'relu']],mse,adam,25,2504040563,4,0.6363636363636364
[[200; 'relu']; [200; 'relu']; [200; 'linear']; [200; 'relu']],mse,adam,25,1207284691,4,0.6818181818181818
[[200; 'relu']; [200; 'relu']; [200; 'linear']; [200; 'linear']],mse,adam,25,2173694594,4,0.6212121212121212
[[200; 'relu']; [200; 'relu']; [200; 'linear']; [200; 'linear']],mse,adam,25,1450575027,4,0.6818181818181818
